number,opened_at,priority,state,assignment_group,assignee,cmdb_ci_class,short_description,ttc_hours,closed_at,sla_breach
INC104782,2025-04-14,3 - Moderate,New,Security,user327,cmdb_ci_db_instance,User cannot access ServiceNow,8.983981375764776,,0
INC104783,2025-09-13,3 - Moderate,Closed,Network,user571,cmdb_ci_server,Network latency issues,3.012009051732842,2025-09-13 03:00:43.232586238,0
INC104784,2025-07-25,1 - Critical,Closed,Network,user120,cmdb_ci_db_instance,Network latency issues,12.7079808337997,2025-07-25 12:42:28.731001678,1
INC104785,2025-02-12,1 - Critical,Closed,Network,user585,cmdb_ci_server,Email down,15.262993449185789,,1
INC104786,2025-09-02,2 - High,New,Security,user251,cmdb_ci_db_instance,Password reset requested,6.647394175612422,2025-09-02 06:38:50.619032204,0
INC104787,2025-10-14,2 - High,Resolved,HR Tech,user115,cmdb_ci_db_instance,Application error 500,20.73874941410739,2025-10-14 20:44:19.497890786,1
INC104788,2025-09-30,1 - Critical,Closed,App Dev,user396,cmdb_ci_server,User cannot access ServiceNow,17.073180954364123,2025-09-30 17:04:23.451435710,1
INC104789,2025-03-24,3 - Moderate,In Progress,IT Support,user492,cmdb_ci_db_instance,VPN unstable,9.088361304905732,2025-03-24 09:05:18.100697660,0
INC104790,2025-04-20,4 - Low,New,App Dev,user585,cmdb_ci_server,User cannot access ServiceNow,6.135527544369484,2025-04-20 06:08:07.899159730,0
INC104791,2025-07-09,4 - Low,Closed,HR Tech,user138,cmdb_ci_network,VPN unstable,14.397248939011044,2025-07-09 14:23:50.096180439,0
INC104792,2025-10-15,3 - Moderate,Resolved,Security,user586,cmdb_ci_network,Application error 500,20.989118798315868,2025-10-15 20:59:20.827673937,0
INC104793,2025-09-08,2 - High,Resolved,Security,user260,cmdb_ci_server,Password reset requested,9.600527567303269,2025-09-08 09:36:01.899242291,0
INC104794,2025-07-31,4 - Low,Closed,Security,user576,cmdb_ci_db_instance,User cannot access ServiceNow,23.218323314975272,,0
INC104795,2025-10-18,4 - Low,Resolved,Network,user305,cmdb_ci_network,Password reset requested,5.151548984323286,2025-10-18 05:09:05.576343563,0
INC104796,2025-05-13,3 - Moderate,In Progress,Network,user496,cmdb_ci_server,Email down,11.88446007509712,,0
INC104797,2025-07-20,2 - High,In Progress,Network,user155,cmdb_ci_app,Application error 500,7.504574518675853,,0
INC104798,2025-10-12,4 - Low,In Progress,App Dev,user006,cmdb_ci_network,Network latency issues,3.4716672981077754,,0
INC104799,2025-04-05,2 - High,In Progress,IT Support,user521,cmdb_ci_server,Slow database performance,5.530307940729518,2025-04-05 05:31:49.108586626,0
INC104800,2025-10-05,1 - Critical,In Progress,Security,user544,cmdb_ci_server,Network latency issues,15.213220760497032,2025-10-05 15:12:47.594737789,1
INC104801,2025-08-07,4 - Low,In Progress,Security,user422,cmdb_ci_network,User cannot access ServiceNow,6.917129237777396,2025-08-07 06:55:01.665255998,0
INC104802,2025-03-30,3 - Moderate,Closed,App Dev,user030,cmdb_ci_db_instance,Application error 500,4.9741926787087145,2025-03-30 04:58:27.093643351,0
INC104803,2025-03-13,2 - High,New,IT Support,user301,cmdb_ci_app,Network latency issues,17.62209443361869,2025-03-13 17:37:19.539961027,1
INC104804,2025-09-04,3 - Moderate,Resolved,IT Support,user370,cmdb_ci_server,Password reset requested,14.91665227129387,2025-09-04 14:54:59.948176657,0
INC104805,2025-05-09,4 - Low,Closed,App Dev,user150,cmdb_ci_db_instance,Network latency issues,5.70493629983689,2025-05-09 05:42:17.770679412,0
INC104806,2025-07-31,4 - Low,Resolved,Security,user529,cmdb_ci_db_instance,Laptop will not boot,23.9654443822357,2025-07-31 23:57:55.599776048,0
INC104807,2025-04-06,2 - High,Resolved,HR Tech,user125,cmdb_ci_server,Password reset requested,7.166963991459107,2025-04-06 07:10:01.070369252,0
INC104808,2025-03-16,1 - Critical,In Progress,HR Tech,user054,cmdb_ci_app,Email down,9.631992389095448,2025-03-16 09:37:55.172600743,0
INC104809,2025-02-23,3 - Moderate,Closed,IT Support,user591,cmdb_ci_network,Application error 500,8.019870307946627,,0
INC104810,2025-02-23,4 - Low,In Progress,IT Support,user160,cmdb_ci_app,VPN unstable,3.935945348058145,2025-02-23 03:56:09.403253009,0
INC104811,2025-08-06,2 - High,Resolved,Security,user156,cmdb_ci_db_instance,User cannot access ServiceNow,6.759689044851308,2025-08-06 06:45:34.880561464,0
INC104812,2025-01-16,3 - Moderate,Closed,IT Support,user395,cmdb_ci_server,Slow database performance,7.417138744860058,2025-01-16 07:25:01.699481496,0
INC104813,2025-04-09,2 - High,In Progress,App Dev,user423,cmdb_ci_server,Application error 500,1.3917643878631756,2025-04-09 01:23:30.351796307,0
INC104814,2025-01-20,1 - Critical,Closed,HR Tech,user371,cmdb_ci_app,Laptop will not boot,9.2987643903491,2025-01-20 09:17:55.551805256,0
INC104815,2025-02-15,4 - Low,Closed,HR Tech,user167,cmdb_ci_app,Network latency issues,13.700805580033183,2025-02-15 13:42:02.900088119,0
INC104816,2025-07-12,2 - High,Resolved,IT Support,user324,cmdb_ci_app,Slow database performance,3.044692248991311,2025-07-12 03:02:40.892096368,0
INC104817,2025-02-27,4 - Low,In Progress,App Dev,user190,cmdb_ci_server,Application error 500,12.106223174920284,2025-02-27 12:06:22.403429713,0
INC104818,2025-04-21,3 - Moderate,Closed,IT Support,user525,cmdb_ci_server,Password reset requested,15.73114224781174,,0
INC104819,2025-05-09,2 - High,New,IT Support,user512,cmdb_ci_db_instance,Laptop will not boot,0.1983579175261817,2025-05-09 00:11:54.088503094,0
INC104820,2025-07-13,4 - Low,In Progress,App Dev,user285,cmdb_ci_app,Network latency issues,6.839104611864954,,0
INC104821,2025-01-08,3 - Moderate,Resolved,App Dev,user239,cmdb_ci_db_instance,Slow database performance,23.69928549786661,2025-01-08 23:41:57.427792319,0
INC104822,2025-01-29,3 - Moderate,Closed,Network,user585,cmdb_ci_db_instance,Application error 500,9.141365075410688,2025-01-29 09:08:28.914271478,0
INC104823,2025-04-22,4 - Low,In Progress,HR Tech,user446,cmdb_ci_app,VPN unstable,1.3247660121327305,2025-04-22 01:19:29.157643677,0
INC104824,2025-06-10,3 - Moderate,New,IT Support,user199,cmdb_ci_network,Laptop will not boot,2.562306876902239,2025-06-10 02:33:44.304756848,0
INC104825,2025-05-11,3 - Moderate,Closed,Security,user199,cmdb_ci_server,Password reset requested,9.434205645902988,2025-05-11 09:26:03.140325250,0
INC104826,2025-07-07,2 - High,In Progress,IT Support,user021,cmdb_ci_network,Network latency issues,11.681161182853865,2025-07-07 11:40:52.180258273,0
INC104827,2025-06-12,4 - Low,In Progress,IT Support,user265,cmdb_ci_server,VPN unstable,7.901544311873318,2025-06-12 07:54:05.559522743,0
INC104828,2025-07-16,3 - Moderate,New,Security,user498,cmdb_ci_server,Email down,9.047283467835465,2025-07-16 09:02:50.220484207,0
INC104829,2025-07-23,2 - High,Resolved,HR Tech,user411,cmdb_ci_server,Email down,8.070296888653735,2025-07-23 08:04:13.068799153,0
INC104830,2025-07-31,4 - Low,Resolved,Network,user341,cmdb_ci_app,Email down,4.610090923566722,2025-07-31 04:36:36.327324840,0
INC104831,2025-04-19,3 - Moderate,Closed,App Dev,user197,cmdb_ci_app,Password reset requested,8.087263379580708,2025-04-19 08:05:14.148166490,0
INC104832,2025-10-03,3 - Moderate,New,Network,user133,cmdb_ci_app,Network latency issues,1.9523963152789263,2025-10-03 01:57:08.626735004,0
INC104833,2025-03-14,1 - Critical,Closed,IT Support,user271,cmdb_ci_server,VPN unstable,5.911454983892934,2025-03-14 05:54:41.237942014,0
INC104834,2025-06-16,4 - Low,Closed,IT Support,user589,cmdb_ci_app,Application error 500,11.139763927606202,2025-06-16 11:08:23.150139382,0
INC104835,2025-09-17,4 - Low,In Progress,Security,user379,cmdb_ci_db_instance,Password reset requested,3.740152798751752,2025-09-17 03:44:24.550075506,0
INC104836,2025-08-31,3 - Moderate,New,Security,user544,cmdb_ci_network,Network latency issues,6.315191052278658,2025-08-31 06:18:54.687788203,0
INC104837,2025-10-02,3 - Moderate,Closed,IT Support,user036,cmdb_ci_db_instance,User cannot access ServiceNow,8.491367623837613,2025-10-02 08:29:28.923445815,0
INC104838,2025-04-12,3 - Moderate,New,Network,user437,cmdb_ci_server,Application error 500,22.814667872517557,2025-04-12 22:48:52.804341063,0
INC104839,2025-06-22,2 - High,Resolved,Network,user407,cmdb_ci_app,Password reset requested,14.852646304928449,2025-06-22 14:51:09.526697742,1
INC104840,2025-06-20,3 - Moderate,On Hold,HR Tech,user146,cmdb_ci_db_instance,Slow database performance,1.8822359746373052,2025-06-20 01:52:56.049508694,0
INC104841,2025-05-21,2 - High,Closed,IT Support,user396,cmdb_ci_network,Laptop will not boot,26.36501106980396,2025-05-22 02:21:54.039851294,1
INC104842,2025-07-07,4 - Low,On Hold,App Dev,user382,cmdb_ci_server,Laptop will not boot,18.420892852399184,,0
INC104843,2025-03-27,2 - High,On Hold,App Dev,user130,cmdb_ci_server,Network latency issues,8.88476275437404,2025-03-27 08:53:05.145915746,0
INC104844,2025-02-21,3 - Moderate,Closed,Network,user236,cmdb_ci_db_instance,Network latency issues,13.249032276177244,2025-02-21 13:14:56.516194238,0
INC104845,2025-04-21,3 - Moderate,Closed,Security,user178,cmdb_ci_server,Email down,4.191638020162834,2025-04-21 04:11:29.896872586,0
INC104846,2025-02-12,2 - High,Resolved,Security,user415,cmdb_ci_db_instance,Email down,7.442200240601573,,0
INC104847,2025-07-30,3 - Moderate,On Hold,Network,user432,cmdb_ci_app,Network latency issues,3.987318742882572,2025-07-30 03:59:14.347474377,0
INC104848,2025-07-19,4 - Low,Closed,HR Tech,user069,cmdb_ci_server,Slow database performance,11.600121863369242,2025-07-19 11:36:00.438708129,0
INC104849,2025-10-25,3 - Moderate,Closed,IT Support,user145,cmdb_ci_db_instance,Network latency issues,31.541038229207675,2025-10-26 07:32:27.737625147,1
INC104850,2025-08-28,2 - High,In Progress,App Dev,user043,cmdb_ci_app,VPN unstable,5.672331454248756,2025-08-28 05:40:20.393235295,0
INC104851,2025-04-25,3 - Moderate,Resolved,Network,user455,cmdb_ci_network,Email down,6.869791427226692,2025-04-25 06:52:11.249138016,0
INC104852,2025-01-26,4 - Low,In Progress,Security,user146,cmdb_ci_db_instance,Email down,7.62939379880913,2025-01-26 07:37:45.817675712,0
INC104853,2025-10-26,3 - Moderate,Resolved,IT Support,user194,cmdb_ci_network,VPN unstable,5.913330543639392,2025-10-26 05:54:47.989957101,0
INC104854,2025-03-18,3 - Moderate,Closed,App Dev,user063,cmdb_ci_network,VPN unstable,11.154942319629416,2025-03-18 11:09:17.792350665,0
INC104855,2025-05-17,2 - High,In Progress,HR Tech,user284,cmdb_ci_server,Slow database performance,15.608611683899356,2025-05-17 15:36:31.002062037,1
INC104856,2025-01-20,4 - Low,In Progress,Network,user393,cmdb_ci_db_instance,Email down,4.938546467322587,2025-01-20 04:56:18.767282361,0
INC104857,2025-07-30,3 - Moderate,In Progress,IT Support,user028,cmdb_ci_app,Network latency issues,7.560971366554186,2025-07-30 07:33:39.496919595,0
INC104858,2025-08-28,3 - Moderate,Closed,App Dev,user508,cmdb_ci_db_instance,Slow database performance,12.16397593950927,2025-08-28 12:09:50.313382233,0
INC104859,2025-02-08,2 - High,Resolved,HR Tech,user459,cmdb_ci_db_instance,Password reset requested,3.696576124813788,2025-02-08 03:41:47.674049329,0
INC104860,2025-09-25,2 - High,In Progress,Security,user076,cmdb_ci_server,VPN unstable,2.732710586762393,,0
INC104861,2025-07-26,3 - Moderate,In Progress,IT Support,user202,cmdb_ci_server,Laptop will not boot,4.864007857811208,2025-07-26 04:51:50.428288120,0
INC104862,2025-09-24,1 - Critical,Resolved,Network,user201,cmdb_ci_app,Network latency issues,12.581858760058791,2025-09-24 12:34:54.691536211,1
INC104863,2025-06-03,3 - Moderate,On Hold,App Dev,user373,cmdb_ci_server,User cannot access ServiceNow,3.541050980249807,2025-06-03 03:32:27.783528899,0
INC104864,2025-02-11,3 - Moderate,Resolved,Security,user322,cmdb_ci_app,User cannot access ServiceNow,5.1307175368530205,2025-02-11 05:07:50.583132670,0
INC104865,2025-01-11,4 - Low,Resolved,Security,user329,cmdb_ci_app,VPN unstable,7.611550007271735,2025-01-11 07:36:41.580026178,0
INC104866,2025-10-21,1 - Critical,Resolved,App Dev,user367,cmdb_ci_app,Email down,8.54480376775406,2025-10-21 08:32:41.293563914,0
INC104867,2025-04-08,2 - High,Resolved,App Dev,user179,cmdb_ci_db_instance,Laptop will not boot,6.87951821448898,2025-04-08 06:52:46.265572160,0
INC104868,2025-10-02,3 - Moderate,Closed,App Dev,user127,cmdb_ci_network,Application error 500,7.735810093274718,2025-10-02 07:44:08.916335788,0
INC104869,2025-08-18,2 - High,Closed,IT Support,user144,cmdb_ci_network,Slow database performance,2.121191822229392,2025-08-18 02:07:16.290560025,0
INC104870,2025-08-08,2 - High,In Progress,Network,user193,cmdb_ci_server,VPN unstable,4.709349723032927,2025-08-08 04:42:33.659002918,0
INC104871,2025-03-06,3 - Moderate,Resolved,Security,user469,cmdb_ci_db_instance,VPN unstable,13.222910676426508,2025-03-06 13:13:22.478435135,0
INC104872,2025-08-20,3 - Moderate,In Progress,HR Tech,user242,cmdb_ci_db_instance,User cannot access ServiceNow,4.414629968999922,2025-08-20 04:24:52.667888399,0
INC104873,2025-02-21,4 - Low,In Progress,App Dev,user057,cmdb_ci_network,Email down,8.712265921060908,2025-02-21 08:42:44.157315819,0
INC104874,2025-09-20,4 - Low,Resolved,Network,user421,cmdb_ci_network,Email down,8.121991169148723,2025-09-20 08:07:19.168208935,0
INC104875,2025-09-24,4 - Low,On Hold,HR Tech,user577,cmdb_ci_db_instance,Application error 500,12.332745094309248,2025-09-24 12:19:57.882339513,0
INC104876,2025-06-03,2 - High,Closed,IT Support,user433,cmdb_ci_db_instance,User cannot access ServiceNow,13.550683042696098,,1
INC104877,2025-05-20,3 - Moderate,New,Security,user047,cmdb_ci_db_instance,Password reset requested,16.078699246743493,2025-05-20 16:04:43.317288276,0
INC104878,2025-02-20,3 - Moderate,In Progress,Network,user424,cmdb_ci_server,Password reset requested,19.310011236225616,,0
INC104879,2025-04-27,3 - Moderate,New,Network,user398,cmdb_ci_network,Email down,3.579687003592582,2025-04-27 03:34:46.873212933,0
INC104880,2025-02-15,4 - Low,Resolved,Security,user296,cmdb_ci_server,User cannot access ServiceNow,1.078255508520596,2025-02-15 01:04:41.719830674,0
INC104881,2025-03-29,3 - Moderate,Closed,Security,user304,cmdb_ci_app,Application error 500,5.690440067353652,2025-03-29 05:41:25.584242473,0
INC104882,2025-07-27,3 - Moderate,Resolved,App Dev,user236,cmdb_ci_network,Email down,3.356574362310974,2025-07-27 03:21:23.667704319,0
INC104883,2025-09-26,1 - Critical,Resolved,Security,user416,cmdb_ci_server,Password reset requested,3.99879736436508,,0
INC104884,2025-03-30,4 - Low,New,Network,user414,cmdb_ci_db_instance,Slow database performance,10.848351550796762,,0
INC104885,2025-04-28,4 - Low,On Hold,App Dev,user120,cmdb_ci_network,VPN unstable,15.462763939390523,2025-04-28 15:27:45.950181805,0
INC104886,2025-02-23,2 - High,Resolved,Security,user555,cmdb_ci_db_instance,User cannot access ServiceNow,8.875591380204556,2025-02-23 08:52:32.128968736,0
INC104887,2025-04-26,2 - High,New,HR Tech,user439,cmdb_ci_network,User cannot access ServiceNow,4.563991853828944,2025-04-26 04:33:50.370673784,0
INC104888,2025-04-28,1 - Critical,Closed,HR Tech,user556,cmdb_ci_app,VPN unstable,9.189806252533485,2025-04-28 09:11:23.302509120,0
INC104889,2025-09-17,1 - Critical,In Progress,Security,user078,cmdb_ci_server,Application error 500,12.620969576705455,,1
INC104890,2025-03-16,3 - Moderate,Resolved,Network,user332,cmdb_ci_server,User cannot access ServiceNow,2.135911880353289,2025-03-16 02:08:09.282769271,0
INC104891,2025-01-07,2 - High,In Progress,App Dev,user108,cmdb_ci_app,User cannot access ServiceNow,6.002701497581056,2025-01-07 06:00:09.725391291,0
INC104892,2025-05-02,4 - Low,Canceled,App Dev,user387,cmdb_ci_db_instance,Password reset requested,6.392783651790024,2025-05-02 06:23:34.021146444,0
INC104893,2025-01-11,4 - Low,In Progress,App Dev,user007,cmdb_ci_db_instance,Laptop will not boot,6.738690979495479,2025-01-11 06:44:19.287526183,0
INC104894,2025-08-03,3 - Moderate,New,IT Support,user570,cmdb_ci_network,Application error 500,3.767780200363137,2025-08-03 03:46:04.008721307,0
INC104895,2025-10-06,3 - Moderate,Canceled,Security,user394,cmdb_ci_network,Application error 500,9.343879572404504,,0
INC104896,2025-01-28,3 - Moderate,In Progress,IT Support,user522,cmdb_ci_network,Application error 500,9.963083182866944,,0
INC104897,2025-08-23,2 - High,Resolved,IT Support,user228,cmdb_ci_network,VPN unstable,3.517117829392759,2025-08-23 03:31:01.624185813,0
INC104898,2025-01-26,1 - Critical,In Progress,HR Tech,user170,cmdb_ci_db_instance,User cannot access ServiceNow,17.940635234468825,2025-01-26 17:56:26.286844087,1
INC104899,2025-02-23,3 - Moderate,Resolved,App Dev,user034,cmdb_ci_db_instance,Application error 500,2.81213921290189,2025-02-23 02:48:43.701166446,0
INC104900,2025-01-29,4 - Low,Resolved,IT Support,user154,cmdb_ci_db_instance,User cannot access ServiceNow,4.4328838322936175,,0
INC104901,2025-06-13,4 - Low,Resolved,Network,user130,cmdb_ci_server,Password reset requested,2.575578812977391,,0
INC104902,2025-09-27,4 - Low,New,Security,user557,cmdb_ci_app,Laptop will not boot,2.233205683076105,2025-09-27 02:13:59.540459073,0
INC104903,2025-02-04,3 - Moderate,Closed,Network,user005,cmdb_ci_app,Password reset requested,8.259918316755027,2025-02-04 08:15:35.705940318,0
INC104904,2025-10-13,4 - Low,On Hold,App Dev,user026,cmdb_ci_server,Laptop will not boot,4.422546492496124,2025-10-13 04:25:21.167372986,0
INC104905,2025-09-30,3 - Moderate,On Hold,HR Tech,user500,cmdb_ci_server,Slow database performance,13.60621806448844,2025-09-30 13:36:22.385032158,0
INC104906,2025-07-27,2 - High,In Progress,Network,user335,cmdb_ci_server,Laptop will not boot,3.807332882590657,2025-07-27 03:48:26.398377326,0
INC104907,2025-08-26,3 - Moderate,Canceled,Network,user409,cmdb_ci_db_instance,Password reset requested,4.469229593341666,2025-08-26 04:28:09.226536029,0
INC104908,2025-04-03,4 - Low,Closed,IT Support,user092,cmdb_ci_network,VPN unstable,12.424644419175968,2025-04-03 12:25:28.719909033,0
INC104909,2025-06-22,1 - Critical,In Progress,Network,user597,cmdb_ci_network,User cannot access ServiceNow,3.073834567045852,2025-06-22 03:04:25.804441365,0
INC104910,2025-03-20,2 - High,Closed,HR Tech,user534,cmdb_ci_network,Password reset requested,5.281705876625038,2025-03-20 05:16:54.141155850,0
INC104911,2025-04-20,2 - High,In Progress,Network,user403,cmdb_ci_app,Network latency issues,17.744494031814952,2025-04-20 17:44:40.178514533,1
INC104912,2025-08-05,2 - High,Closed,Network,user498,cmdb_ci_network,Network latency issues,0.5297615383733483,2025-08-05 00:31:47.141538144,0
INC104913,2025-04-16,2 - High,New,App Dev,user042,cmdb_ci_server,Laptop will not boot,2.1403491317820214,2025-04-16 02:08:25.256874415,0
INC104914,2025-02-16,3 - Moderate,In Progress,HR Tech,user484,cmdb_ci_server,Email down,19.78573953836837,2025-02-16 19:47:08.662338126,0
INC104915,2025-06-30,4 - Low,In Progress,Network,user159,cmdb_ci_app,Application error 500,10.092127256908524,,0
INC104916,2025-03-05,4 - Low,Resolved,App Dev,user355,cmdb_ci_server,Laptop will not boot,9.312683253263812,2025-03-05 09:18:45.659711749,0
INC104917,2025-09-03,4 - Low,In Progress,Security,user500,cmdb_ci_db_instance,Slow database performance,2.1443184604430967,2025-09-03 02:08:39.546457595,0
INC104918,2025-09-01,2 - High,In Progress,Network,user250,cmdb_ci_server,User cannot access ServiceNow,8.030487080778755,2025-09-01 08:01:49.753490803,0
INC104919,2025-03-28,1 - Critical,Resolved,Network,user331,cmdb_ci_server,Network latency issues,3.574222126090587,2025-03-28 03:34:27.199653926,0
INC104920,2025-08-05,2 - High,New,App Dev,user214,cmdb_ci_server,Email down,13.850590125660538,2025-08-05 13:51:02.124452377,1
INC104921,2025-01-07,4 - Low,In Progress,App Dev,user363,cmdb_ci_app,Network latency issues,14.28569450537482,,0
INC104922,2025-10-05,2 - High,Resolved,App Dev,user474,cmdb_ci_db_instance,Password reset requested,4.808489314843367,2025-10-05 04:48:30.561533436,0
INC104923,2025-07-29,3 - Moderate,Closed,Network,user420,cmdb_ci_server,Password reset requested,10.625772853368469,,0
INC104924,2025-06-18,2 - High,Resolved,IT Support,user240,cmdb_ci_db_instance,Laptop will not boot,9.647111902306293,2025-06-18 09:38:49.602848302,0
INC104925,2025-05-18,1 - Critical,Resolved,IT Support,user450,cmdb_ci_db_instance,User cannot access ServiceNow,6.822219123129747,2025-05-18 06:49:19.988843267,0
INC104926,2025-08-18,2 - High,New,App Dev,user067,cmdb_ci_network,Application error 500,3.68388712540688,2025-08-18 03:41:01.993651464,0
INC104927,2025-06-10,3 - Moderate,Closed,IT Support,user191,cmdb_ci_db_instance,User cannot access ServiceNow,5.304521358914206,2025-06-10 05:18:16.276892091,0
INC104928,2025-01-01,2 - High,In Progress,Security,user370,cmdb_ci_db_instance,Application error 500,13.490245879599764,2025-01-01 13:29:24.885166559,1
INC104929,2025-08-24,2 - High,In Progress,IT Support,user279,cmdb_ci_db_instance,User cannot access ServiceNow,17.918660132713885,2025-08-24 17:55:07.176477769,1
INC104930,2025-07-07,3 - Moderate,New,IT Support,user050,cmdb_ci_app,VPN unstable,5.687267357156001,2025-07-07 05:41:14.162485761,0
INC104931,2025-01-04,3 - Moderate,Resolved,Network,user321,cmdb_ci_network,Laptop will not boot,19.127704925959527,2025-01-04 19:07:39.737733454,0
INC104932,2025-05-12,3 - Moderate,On Hold,IT Support,user172,cmdb_ci_app,Slow database performance,10.099348307311963,2025-05-12 10:05:57.653906323,0
INC104933,2025-08-06,4 - Low,Closed,App Dev,user449,cmdb_ci_db_instance,User cannot access ServiceNow,6.994632881700412,2025-08-06 06:59:40.678374121,0
INC104934,2025-09-17,3 - Moderate,In Progress,Network,user018,cmdb_ci_app,VPN unstable,6.407552633412735,2025-09-17 06:24:27.189480285,0
INC104935,2025-01-01,2 - High,Closed,IT Support,user372,cmdb_ci_server,Password reset requested,3.879002444055057,2025-01-01 03:52:44.408798598,0
INC104936,2025-03-12,3 - Moderate,On Hold,Security,user389,cmdb_ci_app,User cannot access ServiceNow,11.148802962194646,2025-03-12 11:08:55.690663900,0
INC104937,2025-06-27,3 - Moderate,In Progress,Network,user466,cmdb_ci_app,Network latency issues,21.27821562040807,2025-06-27 21:16:41.576233469,0
INC104938,2025-07-08,4 - Low,Resolved,Network,user246,cmdb_ci_app,Laptop will not boot,6.785933543067991,2025-07-08 06:47:09.360755044,0
INC104939,2025-10-18,4 - Low,Closed,Network,user096,cmdb_ci_app,Slow database performance,3.305181928001554,2025-10-18 03:18:18.654940805,0
INC104940,2025-01-08,4 - Low,In Progress,IT Support,user289,cmdb_ci_server,Slow database performance,12.42059592061948,2025-01-08 12:25:14.145314230,0
INC104941,2025-09-10,3 - Moderate,In Progress,App Dev,user216,cmdb_ci_server,Laptop will not boot,5.468026126040098,2025-09-10 05:28:04.894053744,0
INC104942,2025-10-19,2 - High,Closed,HR Tech,user211,cmdb_ci_network,Network latency issues,3.833499340177401,,0
INC104943,2025-09-01,4 - Low,In Progress,HR Tech,user082,cmdb_ci_app,Network latency issues,2.045737436090712,2025-09-01 02:02:44.654769926,0
INC104944,2025-05-03,3 - Moderate,Canceled,HR Tech,user591,cmdb_ci_app,VPN unstable,10.901267311757236,2025-05-03 10:54:04.562322326,0
INC104945,2025-10-26,4 - Low,Resolved,IT Support,user459,cmdb_ci_network,Password reset requested,16.064651135186626,2025-10-26 16:03:52.744086671,0
INC104946,2025-10-10,4 - Low,Resolved,Security,user382,cmdb_ci_network,User cannot access ServiceNow,2.6512627848014314,2025-10-10 02:39:04.546025285,0
INC104947,2025-02-01,3 - Moderate,New,Network,user259,cmdb_ci_network,User cannot access ServiceNow,5.926109118175932,2025-02-01 05:55:33.992825433,0
INC104948,2025-05-26,3 - Moderate,In Progress,Network,user396,cmdb_ci_server,Password reset requested,6.339219565541583,2025-05-26 06:20:21.190435949,0
INC104949,2025-06-05,3 - Moderate,On Hold,App Dev,user033,cmdb_ci_db_instance,VPN unstable,4.062229243805417,2025-06-05 04:03:44.025277699,0
INC104950,2025-01-16,2 - High,In Progress,Network,user270,cmdb_ci_db_instance,Slow database performance,18.78767157082782,2025-01-16 18:47:15.617654980,1
INC104951,2025-02-16,3 - Moderate,In Progress,App Dev,user467,cmdb_ci_server,Slow database performance,1.955843429756072,2025-02-16 01:57:21.036347121,0
INC104952,2025-09-08,3 - Moderate,In Progress,IT Support,user469,cmdb_ci_network,Email down,10.171358197765224,2025-09-08 10:10:16.889511954,0
INC104953,2025-07-06,2 - High,New,HR Tech,user425,cmdb_ci_app,Laptop will not boot,11.55435177432909,2025-07-06 11:33:15.666387584,0
INC104954,2025-01-31,3 - Moderate,In Progress,App Dev,user429,cmdb_ci_app,VPN unstable,4.037032594967297,,0
INC104955,2025-09-17,3 - Moderate,New,App Dev,user543,cmdb_ci_server,User cannot access ServiceNow,3.255158552549815,2025-09-17 03:15:18.570789179,0
INC104956,2025-01-17,4 - Low,Resolved,Network,user581,cmdb_ci_app,Password reset requested,4.617734529840803,2025-01-17 04:37:03.844307426,0
INC104957,2025-02-08,4 - Low,Resolved,IT Support,user099,cmdb_ci_server,Email down,1.322126858587363,2025-02-08 01:19:19.656690914,0
INC104958,2025-02-08,2 - High,Closed,HR Tech,user444,cmdb_ci_network,Network latency issues,21.662246448117426,2025-02-08 21:39:44.087213222,1
INC104959,2025-05-12,4 - Low,In Progress,IT Support,user371,cmdb_ci_db_instance,Network latency issues,4.928540778522216,2025-05-12 04:55:42.746802679,0
INC104960,2025-01-30,3 - Moderate,Closed,HR Tech,user132,cmdb_ci_network,VPN unstable,5.474782145118256,2025-01-30 05:28:29.215722425,0
INC104961,2025-06-07,3 - Moderate,Resolved,Security,user266,cmdb_ci_app,Laptop will not boot,24.129921113804667,2025-06-08 00:07:47.716009696,1
INC104962,2025-10-05,4 - Low,Resolved,IT Support,user222,cmdb_ci_db_instance,Network latency issues,1.572694872086149,2025-10-05 01:34:21.701539510,0
INC104963,2025-07-22,2 - High,Resolved,Security,user357,cmdb_ci_app,Slow database performance,6.741860674660274,2025-07-22 06:44:30.698428776,0
INC104964,2025-03-07,3 - Moderate,Closed,HR Tech,user499,cmdb_ci_server,Application error 500,12.648459329161474,,0
INC104965,2025-04-18,3 - Moderate,New,App Dev,user137,cmdb_ci_app,VPN unstable,21.69235744972188,2025-04-18 21:41:32.486818998,0
INC104966,2025-09-25,4 - Low,New,Security,user149,cmdb_ci_app,Slow database performance,1.7769419946080591,2025-09-25 01:46:36.991180589,0
INC104967,2025-08-10,3 - Moderate,New,HR Tech,user127,cmdb_ci_db_instance,Laptop will not boot,23.70049122623764,,0
INC104968,2025-10-19,4 - Low,In Progress,HR Tech,user240,cmdb_ci_db_instance,User cannot access ServiceNow,5.905551785068893,,0
INC104969,2025-01-18,2 - High,Resolved,Security,user279,cmdb_ci_app,User cannot access ServiceNow,5.942733506781992,2025-01-18 05:56:33.840624415,0
INC104970,2025-03-31,3 - Moderate,Resolved,IT Support,user061,cmdb_ci_db_instance,Application error 500,2.700627559979408,2025-03-31 02:42:02.259215925,0
INC104971,2025-06-30,3 - Moderate,Resolved,App Dev,user378,cmdb_ci_network,Password reset requested,7.860681124722358,2025-06-30 07:51:38.452049000,0
